English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	WordLength_EN	WordLength_ES	Condition 
dog	hond	perro	1	non-cognate	non-cognate	non-cognate	0	0	0	dog.png	perro.wav	d	h	pe	0.95	0.975	0	22.253	168	54	3.8678	5.17	1	2	
donkey	ezel	burro	1	non-cognate	non-cognate	non-cognate	0	0	0	donkey.png	burro.wav	don	e	bu	0.85	0.925	1	10.792	12	1	2.699	3.99	2	2	
dress	jurk	vestido	0	non-cognate	non-cognate	non-cognate	0	0	0	dress.png	vestido.wav	d	j	ves	1	1	0	16.232	42	27	3.3872	4.85	1	3	
duck	eend	pato	1	non-cognate	non-cognate	non-cognate	0	0	0	duck.png	pato.wav	d	e	pa	0.972222222	0.972222222	1	13.802	24	9	2.5955	4.53	1	2	
goal	doel	portería	1	non-cognate	non-cognate	non-cognate		0	0	goal.png	portería.wav	g	d	por	#N/A	#N/A	1	22.175	165	10	3.5299	4.97	1	4	
heel	hak	tacón	0	non-cognate	non-cognate	non-cognate		0	0	heel.png	tacón.wav	h	h	ta	#N/A	#N/A	1	10.792	12	5	2.5551	3.81	1	2	
horse	paard	caballo	0	non-cognate	non-cognate	non-cognate	0	0	0	horse.png	caballo.wav	h	p	ca	1	1	1	21.987	158	40	3.5632	4.99	1	3	
key	sleutel	llave	0	non-cognate	non-cognate	non-cognate	0	0	0	key.png	llave.wav	k	sleu	lla	1	1	0	16.902	49	38	3.5478	5.07	1	2	
knife	mes	cuchillo	0	non-cognate	non-cognate	non-cognate	0	0	0	knife.png	cuchillo.wav	k	m	cu	0.975	1	1	16.128	41	14	3.306	4.49	1	3	
leg	been	pierna	0	non-cognate	non-cognate	non-cognate	0	0	0	leg.png	pierna.wav	l	b	pier	#N/A	#N/A	1	22.504	178	31	3.3703	4.88	1	2	
lightning	bliksem	rayo	1	non-cognate	non-cognate	non-cognate		0	0	lightning.png	rayo.wav	light	blik	ra	#N/A	#N/A	1	11.139	13	4	2.6684	4	2	2	
lock	slot	cerradura	1	non-cognate	non-cognate	non-cognate	0	0	0	lock.png	cerradura.wav	l	s	cer	0.75	0.85	0	18.573	72	5	3.3608	4.42	1	4	
match	lucifer	cerillo	3	non-cognate	non-cognate	non-cognate	0	0	0	match.png	cerillo.wav	m	lu	ce			1	11.761	15	39	2.4518	5.12	1	3	
monkey	aap	mono	1	non-cognate	non-cognate	non-cognate	0	0	0	monkey.png	mono.wav	mon	a	mo	0.916666667	0.972222222	0	1.301	20	7	3.0969	4.38	2	2	
moustache	snor	bigote	1	non-cognate	non-cognate	non-cognate	0	0	0	moustache.png	bigote.wav	mous	s	bi	1	1	1	12.304	17	3	2.6395	3.8	2	3	
mug	kopje	taza	0	non-cognate	non-cognate	non-cognate		0	0	mug.png	taza.wav	m	kop	ta	#N/A	#N/A	1	16.721	47	6	2.9227	3.93	1	2	
onion	ui	cebolla	1	non-cognate	non-cognate	non-cognate	0	0	0	onion.png	cebolla.wav	on	u	ce	0.975	1	1	12.553	18	2	2.0128	4.28	2	3	
painting	schilderij	cuadro	0	non-cognate	non-cognate	non-cognate	0	0	0	painting.png	cuadro.wav	pain	schil	cua	1	1	1	15.798	38	40	2.9741	4.77	2	2	
parrot	papegaai	loro	1	non-cognate	non-cognate	non-cognate	0	0	0	parrot.png	loro.wav	par	pa	lo	0.75	0.975	1	0.7782	6	2	2.1614	3.84	2	2	
pencil	potlood	lápiz	1	non-cognate	non-cognate	non-cognate	1	0	0	pencil.png	lápiz.wav	pen	pot	lá	0.9	1	1	10.792	12	5	2.3784	3.98	2	2	
pigeon	duif	paloma	1	non-cognate	non-cognate	non-cognate	0	0	0	pigeon.png	paloma.wav	pi	d	pa	#N/A	0.975	0	12.788	19	9	2.3711	4.03	2	3	
pillow	kussen	almohada	0	non-cognate	non-cognate	non-cognate	0	0	0	pillow.png	almohada.wav	pil	kus	al	0.9	1	1	14.624	29	5	3.3002	3.73	2	4	
raccoon	wasbeer	mapache	1	non-cognate	non-cognate	non-cognate		0	0	raccoon.png	mapache.wav	rac 	was	ma	#N/A	#N/A	0	0	0	0	1.8451	2.57	2	3	
root	wortel	raíz	0	non-cognate	non-cognate	non-cognate	0	0	0	root.png	raíz.wav	r	wor	ra	0.475	0.925	1	15.682	37	45	2.4281	4.13	1	2	
rope	touw	soga	0	non-cognate	non-cognate	non-cognate	0	0	0	rope.png	soga.wav	r	t	so	0.875	1	1	15.563	36	2	3.0603	4.3	1	2	
scar	litteken	cicatriz	0	non-cognate	non-cognate	non-cognate		0	0	scar.png	cicatriz.wav	s	lit	ci	#N/A	#N/A	0	11.461	14	1	2.6335	3.6	1	3	
skirt	rok	falda	0	non-cognate	non-cognate	non-cognate	0	0	0	skirt.png	falda.wav	s	r	fal	0.95	1	1	14.914	31	12	2.5011	3.81	1	2	
skull	schedel	calavera	1	non-cognate	non-cognate	non-cognate		0	0	skull.png	calavera.wav	s	sche	ca	#N/A	#N/A	1	12.788	19	5	2.8028	4.04	1	4	
skunk	stinkdier	mofeta	1	non-cognate	non-cognate	non-cognate		0	0	skunk.png	mofeta.wav	s	stink	mo	#N/A	#N/A	0	0	0	0	1.9685	3.36	1	3	
sleeve	mouw	manga	1	non-cognate	non-cognate	non-cognate	0	0	0	sleeve.png	manga.wav	s	m	man	0.75	1	1	13.979	25	8	2.2648	3.88	1	2	
snake	slang	serpiente	1	non-cognate	non-cognate	non-cognate	0	0	0	snake.png	serpiente.wav	s	s	ser	#N/A	#N/A	0	14.314	27	9	2.9754	4.36	1	3	
spoon	lepel	cuchara	1	non-cognate	non-cognate	non-cognate	0	0	0	spoon.png	cuchara.wav	s	le	cu	1	1	1	12.553	18	2	2.3424	4.29	1	3	
stork	ooievaar	cigüeña	1	non-cognate	non-cognate	non-cognate		0	0	stork.png	cigüeña.wav	s	ooi	ci	#N/A	#N/A	1	0.301	2	0	1.6435	2.87	1	3	
straw	rietje	paja	1	non-cognate	non-cognate	non-cognate	0	0	0	straw.png	paja.wav	s	riet	pa	0.775	1	1	0.301	2	6	2.0607	4.17	1	2	
suit	pak	traje	0	non-cognate	non-cognate	non-cognate	0	0	0	suit.png	traje.wav	s	p	tra	0.925	0.95	0	17.853	61	24	4.1366	4.59	1	2	
tie	stropdas	corbata	1	non-cognate	non-cognate	non-cognate	1	0	0	tie.png	corbata.wav	t	s	cor	0.875	0.9	1	0.7782	6	12	2.2945	4.58	1	3	
tree	boom	árbol	0	non-cognate	non-cognate	non-cognate	0	0	0	tree.png	árbol.wav	t	b	ár	0.975	1	1	21.367	137	34	3.3591	4.95	1	2	
waiter	ober	camarero	1	non-cognate	non-cognate	non-cognate		0	0	waiter.png	camarero.wav	wai	o	ca	#N/A	#N/A	1	11.461	14	7	2.6425	3.66	2	4	
watch	horloge	reloj	0	non-cognate	non-cognate	non-cognate	0	0	0	watch.png	reloj.wav	w	hor	re	0.975	0.975	1	15.315	34	25	3.091	5.3	1	2	
wave	golf	ola	0	non-cognate	non-cognate	non-cognate	0	0	0	wave.png	ola.wav	w	g	o	0.975	0.95	1	17.853	61	61	2.8854	4.55	1	2	
window	raam	ventana	0	non-cognate	non-cognate	non-cognate	0	0	0	window.png	ventana.wav	win	r	ven	0.95	0.95	1	22.405	174	58	3.4912	4.84	2	3	
wing	vleugel	ala	1	non-cognate	non-cognate	non-cognate		0	0	wing.png	ala.wav	w	vleu	a	#N/A	#N/A	1	15.798	38	21	2.5877	4.46	1	2	
wood	hout	madera	0	non-cognate	non-cognate	non-cognate	0	0	0	wood.png	madera.wav	w	h	ma	0.95	0.95	1	16.812	48	39	3.0137	4.78	1	3	
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
