English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	Condition	Syllable_Spa
garlic	knoflook	ajo	1	non-cognate	non-cognate	non-cognate	1	0	0	garlic.png	ajo.wav	gar	k	a	0,916666667	0,916666667	1	10,414	11	0	2,2856	4,45	2	2
sausage	worst	salchicha	1	non-cognate	non-cognate	non-cognate	0	0	0	sausage.png	salchicha.wav	sau	w	sal	0,944444444	0,916666667	1	10,414	11	2	2,5855	4,23	2	3
axe	bijl	hacha	1	non-cognate	non-cognate	non-cognate	0	0	0	axe.png	hacha.wav	a	b	ha	0,722222222	0,972222222	1	10,414	11	2	2,6085	3,85	3	2
cabbage	kool	repollo	1	non-cognate	non-cognate	non-cognate		0	0	cabbage.png	repollo.wav	cab	k	re	#N/A	#N/A	1	10,414	11	2	2,3181	4,07	3	3
donkey	ezel	burro	1	non-cognate	non-cognate	non-cognate	0	0	0	donkey.png	burro.wav	don	e	bu	0,85	0,925	1	10,792	12	1	2,699	3,99	3	2
pencil	potlood	lápiz	1	non-cognate	non-cognate	non-cognate	1	0	0	pencil.png	lápiz.wav	pen	pot	lá	0,9	1	1	10,792	12	5	2,3784	3,98	3	2
heel	hak	tacón	0	non-cognate	non-cognate	non-cognate		0	0	heel.png	tacón.wav	h	h	ta	#N/A	#N/A	1	10,792	12	5	2,5551	3,81	3	2
lightning	bliksem	rayo	1	non-cognate	non-cognate	non-cognate		0	0	lightning.png	rayo.wav	light	blik	ra	#N/A	#N/A	1	11,139	13	4	2,6684	4	3	2
glove	handschoen	guante	1	non-cognate	non-cognate	non-cognate	1	0	0	glove.png	guante.wav	g	h	guan	0,75	1	1	11,139	13	4	2,4669	3,81	3	2
waiter	ober	camarero	1	non-cognate	non-cognate	non-cognate		0	0	waiter.png	camarero.wav	wai	o	ca	#N/A	#N/A	1	11,461	14	7	2,6425	3,66	3	4
coin	munt	moneda	1	non-cognate	non-cognate	non-cognate	0	0	0	coin.png	moneda.wav	c	m	mo	0,8	0,875	1	11,461	14	7	2,6785	4,05	3	3
match	lucifer	cerillo	3	non-cognate	non-cognate	non-cognate	0	0	0	match.png	cerillo.wav	m	lu	ce			1	11,761	15	39	2,4518	5,12	3	3
arrow	pijl	flecha	1	non-cognate	non-cognate	non-cognate	0	0	0	arrow.png	flecha.wav	ar	p	fle	0,861111111	0,944444444	1	12,041	16	21	2,4942	3,78	3	2
moustache	snor	bigote	1	non-cognate	non-cognate	non-cognate	0	0	0	moustache.png	bigote.wav	mous	s	bi	1	1	1	12,304	17	3	2,6395	3,8	3	3
fly	vlieg	mosca	1	non-cognate	non-cognate	non-cognate	0	0	0	fly.png	mosca.wav	f	v	mos	0,8	0,95	1	12,553	18	12	3,1045	4,9	3	2
onion	ui	cebolla	1	non-cognate	non-cognate	non-cognate	0	0	0	onion.png	cebolla.wav	on	u	ce	0,975	1	1	12,553	18	2	2,0128	4,28	3	3
spoon	lepel	cuchara	1	non-cognate	non-cognate	non-cognate	0	0	0	spoon.png	cuchara.wav	s	le	cu	1	1	1	12,553	18	2	2,3424	4,29	3	3
skull	schedel	calavera	1	non-cognate	non-cognate	non-cognate		0	0	skull.png	calavera.wav	s	sche	ca	#N/A	#N/A	1	12,788	19	5	2,8028	4,04	3	4
belt	riem	cinturón	1	non-cognate	non-cognate	non-cognate	0	0	0	belt.png	cinturón.wav	b	r	cin	0,75	0,9	1	13,424	22	17	2,7924	4,32	3	3
bucket	emmer	cubo	1	non-cognate	non-cognate	non-cognate	0	0	0	bucket.png	cubo.wav	b	em	cu	0,85	1	1	13,424	22	7	2,4698	4,21	3	2
cage	kooi	jaula	1	non-cognate	non-cognate	non-cognate	0	0	0	cage.png	jaula.wav	c	k	jau	0,777777778	0,805555556	1	13,617	23	3	2,7818	4,03	3	2
